City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Husavik,IS,2022-01-25 23:49:18,66.0449,-17.3389,35.51,93,100,30.8
128,Dikson,RU,2022-01-25 23:46:48,73.5069,80.5464,11.68,92,100,29.71
129,Teguise,ES,2022-01-25 23:49:19,29.0605,-13.564,57.42,82,20,12.66
130,East London,ZA,2022-01-25 23:45:19,-33.0153,27.9116,72.52,84,76,3.0
131,Koping,SE,2022-01-25 23:49:20,59.514,15.9926,31.17,67,94,7.76
132,Kemijarvi,FI,2022-01-25 23:49:20,66.7131,27.4306,11.39,96,25,4.85
133,Todos Santos,MX,2022-01-25 23:49:21,23.45,-110.2167,72.1,48,45,4.03
134,Thompson,CA,2022-01-25 23:45:42,55.7435,-97.8558,-11.04,70,75,10.36
135,Nemuro,JP,2022-01-25 23:49:21,43.3236,145.575,14.43,72,70,1.07
136,Sao Filipe,CV,2022-01-25 23:49:22,14.8961,-24.4956,76.03,60,2,9.69
137,Santiago,CL,2022-01-25 23:46:40,-33.4569,-70.6483,80.04,38,0,8.05
138,Pisco,PE,2022-01-25 23:50:22,-13.7,-76.2167,73.45,68,0,21.85
139,Cabo San Lucas,MX,2022-01-25 23:50:23,22.8909,-109.9124,72.61,49,40,4.45
140,Torbay,CA,2022-01-25 23:46:43,47.6666,-52.7314,27.75,90,40,5.75
141,Alta Floresta,BR,2022-01-25 23:50:23,-9.8756,-56.0861,72.61,95,91,2.19
142,Peterhead,GB,2022-01-25 23:50:23,57.5058,-1.7981,46.45,81,93,12.57
143,Srednekolymsk,RU,2022-01-25 23:50:24,67.45,153.6833,-34.49,100,94,5.73
144,Hirara,JP,2022-01-25 23:50:24,24.8,125.2833,66.47,82,20,8.05
145,Fare,PF,2022-01-25 23:50:25,-16.7,-151.0167,81.25,76,81,16.2
146,Vaini,TO,2022-01-25 23:50:25,-21.2,-175.2,84.36,79,20,10.36
147,Redlands,US,2022-01-25 23:49:22,34.0556,-117.1825,72.55,17,1,1.01
148,Maturin,VE,2022-01-25 23:50:26,9.75,-63.1767,74.43,75,90,8.46
149,Mount Gambier,AU,2022-01-25 23:50:27,-37.8333,140.7667,89.51,35,60,11.5
150,Sao Joao Da Barra,BR,2022-01-25 23:50:27,-21.6403,-41.0511,75.67,89,2,8.25
151,Esperance,AU,2022-01-25 23:50:28,-33.8667,121.9,64.24,82,100,13.29
152,Keuruu,FI,2022-01-25 23:50:28,62.2667,24.7,20.17,97,68,4.72
153,Rio Negro,BR,2022-01-25 23:50:28,-26.1058,-49.7975,73.67,89,26,4.85
154,Mahebourg,MU,2022-01-25 23:48:04,-20.4081,57.7,75.49,73,40,10.36
155,Clyde River,CA,2022-01-25 23:50:29,70.4692,-68.5914,-5.57,84,90,17.27
156,Santa Lucia,ES,2022-01-25 23:50:29,27.9117,-15.5407,53.94,63,20,12.66
157,Monrovia,LR,2022-01-25 23:50:30,6.3005,-10.7969,78.57,82,2,6.08
158,Nara,JP,2022-01-25 23:50:30,34.6851,135.8049,41.97,72,86,3.09
159,Blagoveshchenka,RU,2022-01-25 23:50:31,52.8333,79.8667,7.0,93,100,12.64
160,Hermiston,US,2022-01-25 23:50:31,45.8404,-119.2895,35.4,79,90,0.0
161,Shimanovsk,RU,2022-01-25 23:50:32,52.0,127.7,-9.18,99,24,4.25
162,Pochutla,MX,2022-01-25 23:50:32,15.7432,-96.4661,81.82,64,0,6.31
163,Aklavik,CA,2022-01-25 23:50:33,68.2191,-135.0107,30.2,74,75,23.02
164,Ilulissat,GL,2022-01-25 23:50:33,69.2167,-51.1,4.08,71,80,8.75
165,Kavieng,PG,2022-01-25 23:49:15,-2.5744,150.7967,84.83,71,99,8.46
166,Port Alfred,ZA,2022-01-25 23:50:34,-33.5906,26.891,72.12,84,94,9.95
167,Manado,ID,2022-01-25 23:50:34,1.487,124.8455,79.57,89,20,1.14
168,Inirida,CO,2022-01-25 23:50:35,3.8653,-67.9239,78.55,84,100,3.27
169,Ancud,CL,2022-01-25 23:46:56,-41.8697,-73.8203,65.73,78,4,1.72
170,Portland,US,2022-01-25 23:50:29,45.5234,-122.6762,52.52,62,20,1.01
171,Kadaya,RU,2022-01-25 23:50:35,50.9327,119.2911,-21.23,100,92,2.66
172,Dingle,PH,2022-01-25 23:50:36,10.9995,122.6711,77.76,91,100,10.25
173,Guerrero Negro,MX,2022-01-25 23:50:36,27.9769,-114.0611,64.89,49,42,10.85
174,Cherskiy,RU,2022-01-25 23:50:37,68.75,161.3,-42.81,100,91,5.32
175,Maloy,NO,2022-01-25 23:50:37,61.9353,5.1136,46.06,96,86,7.0
176,Natitingou,BJ,2022-01-25 23:50:37,10.3042,1.3796,70.32,15,0,8.46
177,Padang,ID,2022-01-25 23:50:38,-0.9492,100.3543,77.05,83,100,4.03
178,Soyo,AO,2022-01-25 23:50:38,-6.1349,12.3689,77.05,80,96,4.74
179,Talnakh,RU,2022-01-25 23:50:39,69.4865,88.3972,1.2,96,73,11.9
180,Castro,BR,2022-01-25 23:50:39,-24.7911,-50.0119,68.25,60,14,3.83
181,Chiny,BE,2022-01-25 23:50:39,49.7333,5.3333,30.63,93,0,2.62
182,Roald,NO,2022-01-25 23:50:40,62.5833,6.1333,46.33,87,75,25.32
183,Benicarlo,ES,2022-01-25 23:50:40,40.4165,0.4271,41.56,74,0,2.77
184,Mehamn,NO,2022-01-25 23:50:41,71.0357,27.8492,30.83,64,99,27.0
185,Meulaboh,ID,2022-01-25 23:51:42,4.1363,96.1285,75.87,87,82,2.48
186,Cedar City,US,2022-01-25 23:51:42,37.6775,-113.0619,31.19,69,100,13.8
187,Adrar,MR,2022-01-25 23:51:43,20.5022,-10.0711,68.68,15,98,9.4
188,Cetraro,IT,2022-01-25 23:51:43,39.5166,15.9416,30.24,61,4,4.72
189,Ballina,AU,2022-01-25 23:51:44,-28.8667,153.5667,77.04,94,75,5.75
190,Nanortalik,GL,2022-01-25 23:51:44,60.1432,-45.2371,26.31,91,100,10.11
191,Dehri,IN,2022-01-25 23:51:45,24.8667,84.1833,51.89,65,46,4.88
192,Sitka,US,2022-01-25 23:46:48,57.0531,-135.33,39.09,87,100,4.61
193,Riyadh,SA,2022-01-25 23:51:45,24.6877,46.7219,57.34,40,0,10.67
194,Filadelfia,US,2022-01-25 23:50:56,39.9523,-75.1638,36.21,55,40,1.99
195,Hami,CN,2022-01-25 23:51:46,42.8,93.45,21.6,51,66,3.51
196,Tessalit,ML,2022-01-25 23:47:50,20.1986,1.0114,62.31,17,97,10.51
197,Pemangkat,ID,2022-01-25 23:51:46,1.1667,108.9667,77.43,86,82,8.03
198,Sakakah,SA,2022-01-25 23:51:47,29.9697,40.2064,45.97,45,0,2.28
199,Pacific Grove,US,2022-01-25 23:47:12,36.6177,-121.9166,66.38,78,0,1.99
200,Anamur,TR,2022-01-25 23:51:47,36.0751,32.8369,44.65,89,90,3.31
201,Hanzhong,CN,2022-01-25 23:51:48,33.0728,107.0303,39.22,96,100,2.33
202,Bathsheba,BB,2022-01-25 23:51:48,13.2167,-59.5167,75.81,78,40,13.8
203,Erenhot,CN,2022-01-25 23:51:49,43.6475,111.9767,2.44,89,27,6.17
204,Kruisfontein,ZA,2022-01-25 23:51:49,-34.0033,24.7314,68.88,94,100,8.05
205,La Ronge,CA,2022-01-25 23:51:49,55.1001,-105.2842,12.45,73,100,10.36
206,Qaanaaq,GL,2022-01-25 23:51:50,77.484,-69.3632,-10.75,57,9,7.09
207,Dabat,ET,2022-01-25 23:51:50,12.9842,37.765,52.29,36,5,3.38
208,Udachnyy,RU,2022-01-25 23:51:41,66.4167,112.4,3.45,84,100,5.39
209,Santo Tomas,PH,2022-01-25 23:51:51,14.1079,121.1414,77.25,90,99,7.4
210,Hamilton,US,2022-01-25 23:48:51,39.1834,-84.5333,27.45,63,75,1.01
211,Praia Da Vitoria,PT,2022-01-25 23:51:51,38.7333,-27.0667,59.76,94,40,8.39
212,Coolum Beach,AU,2022-01-25 23:51:52,-26.5333,153.1,75.13,83,78,2.3
213,Chute-Aux-Outardes,CA,2022-01-25 23:51:52,49.1168,-68.399,8.91,92,20,0.0
214,Naze,JP,2022-01-25 23:51:53,28.3667,129.4833,58.12,66,83,8.32
215,Tarko-Sale,RU,2022-01-25 23:51:53,64.9225,77.785,-6.23,98,80,12.82
216,Ugoofaaru,MV,2022-01-25 23:51:54,5.6667,73.0,79.79,65,96,10.54
217,Ndungu,TZ,2022-01-25 23:51:54,-4.3667,38.05,69.67,96,55,5.1
218,Severo-Kurilsk,RU,2022-01-25 23:49:23,50.6789,156.125,25.63,59,64,5.32
